,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
588,2110,-0.3,-0.3,0.3,4.027,-0.222,0.302,4.391707520444349,1.0069446665436792,1.0071957133187832,6293.0,-181.0,158.0
589,2111,0.06,-0.14,0.15,4.58,-0.115,0.011000000000000001,10.275076151604951,1.0022272813374513,1.0023180020900821,5343.0,-101.0,106.0
590,2115,-0.44,-0.12,0.18,4.342,-0.131,0.152,10.766289618333872,1.002920678961973,1.0030169393629107,5712.0,-88.0,118.0
591,2119,-0.26,-0.14,0.14,4.199,-0.10400000000000001,0.132,18.354182546308213,1.0020108124479223,1.001903864198992,5839.0,-105.0,105.0
592,2120,0.24,-0.14,0.14,4.101,-0.129,0.145,20.17423999613172,1.0030769023088197,1.0032896184084532,5755.0,-112.0,112.0
593,2133,0.12,-0.14,0.1,4.4910000000000005,-0.16,0.03,3.111445057796398,1.0273077264935506,2.4128807513847,5779.0,-128.0,110.0
594,2135,-0.14,-0.3,0.24,3.989,-0.218,0.29,10.04664455078464,1.0275182020063607,1.0656655671761632,6429.0,-246.0,181.0
595,2137,-0.24,-0.14,0.16,4.59,-0.018000000000000002,0.038,23.92409235320781,1.1257010308100448,1.1369448569042178,4741.0,-90.0,100.0
596,2143,0.4,-0.18,0.06,4.298,-0.132,0.114,15.473899846866438,1.0105670403360725,1.0134266533883538,5616.0,-117.0,96.0
597,2148,0.0,-0.101,0.101,3.767,-0.011000000000000001,0.011000000000000001,17.113716572891814,1.0106751328174588,1.0171233740617545,5302.0,-75.0,75.0
